URL,TITRE,QUANTITE,PRIX,PRIX_KILOS,VALEUR ÉNERGÉTIQUE (KJ),VALEUR ÉNERGÉTIQUE (KCAL),MATIÈRES GRASSES,ACIDES GRAS SATURÉS,GLUCIDES,SUCRES,PROTÉINES,SEL,FIBRES ALIMENTAIRES,VITAMINE D,CALCIUM,VITAMINE B6,ACIDES GRAS MONO-INSATURÉS,VITAMINE B12
https://www.carrefour.fr/p/desserts-precieux-au-caramel-gu-5060023979504?t=R04F06,Desserts précieux au caramel GU ,"les 2 pots de 91,5 g",3.95,21.58,1652,396,24,13.4,42,30.6,3.6,0.6,1.3,,,,,
https://www.carrefour.fr/p/desserts-coeurs-fondants-chocolat-gu-5060023970198?t=R04F06,Desserts cœurs fondants chocolat GU ,les 2 pots de 100 g,3.68,18.40,1760,422,25.2,14.8,41,34.7,6.4,0.1,2.7,,,,,
https://www.carrefour.fr/p/desserts-cheesecake-caramel-sale-gu-5060425284190?t=R04F06,Desserts Cheesecake caramel salé GU ,les 2 pots de 90 g,3.49,18.97,1509,362,23.1,13.6,34.5,30.6,3.7,0.65,0.7,,,,,
https://www.carrefour.fr/p/desserts-mousse-creme-de-marron-la-fermiere-3279231712007?t=R04F06,Desserts mousse crème de marron LA FERMIERE ,les 2 pots de 100 g,2.65,13.25,961,229,9.1,5.4,33,28,2.8,0.07,,,,,,
https://www.carrefour.fr/p/desserts-mousse-chocolat-noir-la-fermiere-3279231711000?t=R04F06,Desserts mousse chocolat noir LA FERMIERE ,les 2 pots de 85 g,2.65,15.59,1511,364,28,17,21,19,5.4,0.09,,,,,,
https://www.carrefour.fr/p/desserts-liegeois-cafe-la-fermiere-3279231732005?t=R04F06,Desserts Liégeois café LA FERMIERE ,les 2 pots de 130 g,2.65,10.19,929,223,16,10,16,14,2.9,0.51,,,,,,
https://www.carrefour.fr/p/desserts-riz-au-lait-vanille-la-laitiere-3023290170434?t=R04F06,Desserts riz au lait vanille LA LAITIERE ,les 4 pots de 115 g,1.28,2.78,604,143,3.4,2.3,25.2,15.4,2.8,0.18,,,,,,
https://www.carrefour.fr/p/desserts-caramel-beurre-sale-rians-3184670006177?t=R04F06,Desserts caramel beurre salé RIANS ,les 2 desserts - 180 g,1.81,10.06,1243,299,21,14,23,18,4.2,0.5,,,,,,
https://www.carrefour.fr/p/desserts-bio-amandes-les-petites-pousses-3760266120009?t=R04F06,Desserts bio amandes LES PETITES POUSSES ,les 2 pots de 100 g,2.85,14.25,442,106,6.7,0.5,8.3,5,2.6,0.005,,,,,,
https://www.carrefour.fr/p/dessert-vegetal-mousse-chocolat-noir-carrefour-veggie-3560071182120?t=R04F06,Dessert végétal mousse chocolat noir CARREFOUR VEGGIE ,les 2 pots de 70g,2.48,17.71,1085,260,13,7.9,25,23,8.4,0.47,5.2,,,,,
https://www.carrefour.fr/p/faisselle-moulee-a-la-main-0-carrefour-3560070710836?t=R04F06,Faisselle moulée à la main 0% CARREFOUR ,les 4 pots de 100 g,1.50,3.75,136,32,0,0,3.5,3,4.5,0.1,,,,,,
https://www.carrefour.fr/p/faisselle-au-lait-de-chevre-cabreignac-3173980033089?t=R04F06,Faisselle au lait de chèvre CABREIGNAC ,le pot de 500 g,2.89,5.78,456,110,7.6,5.3,2.3,2.3,8,0.08,,,,,,
https://www.carrefour.fr/p/fromage-bio-frais-carrefour-bio-3245413442420?t=R04F06,Fromage bio frais CARREFOUR BIO ,la barquette de 500g,1.68,3.36,305,73,3.2,2.1,3.1,3.1,7.9,0.15,,,,,,
https://www.carrefour.fr/p/fromage-blanc-bio-a-la-vanille-2-7-mg-carrefour-bio-3560071176426?t=R04F06,"Fromage blanc bio à la vanille 2,7% MG CARREFOUR BIO ",les 4 pots de 100g,1.50,3.75,386,92,2.7,1.8,10,9.6,6.8,0.1,,,,,,
https://www.carrefour.fr/p/fromage-frais-7-mg-etrez-3286151301204?t=R04F06,Fromage frais 7% MG ETREZ ,les 12 pots de 100g,4.30,3.58,398,96,7,4.3,4.1,3.9,4.4,0.09,,,,,,
https://www.carrefour.fr/p/fromage-frais-de-campagne-la-bressane-3302551145900?t=R04F06,Fromage frais de Campagne LA BRESSANE ,le pot de 2 kg,5.20,2.60,360,86,6,3.7,4.7,4.3,3.6,0.2,,,,,,
https://www.carrefour.fr/p/fromage-frais-caille-6-mg-la-bressane-3302552414739?t=R04F06,Fromage frais caillé 6% MG LA BRESSANE ,le pot de 1 kg,2.75,2.75,0,89,6.3,3.6,4.8,4.4,3.4,0.2,,,,,,
https://www.carrefour.fr/p/fromage-frais-en-faisselle-2-la-bressane-3302550012067?t=R04F06,Fromage frais en faisselle 2% LA BRESSANE ,les 6 pots de 100 g,2.29,3.82,239,57,2.2,1.4,5.4,4.6,3.9,0.2,,,,,,
https://www.carrefour.fr/p/fromage-frais-coulis-mure-myrtille-rians-3184670001998?t=R04F06,Fromage frais coulis mûre/myrtille RIANS ,les 2 pots de 120 g,1.69,7.04,375,90,5.1,3.8,7.6,7.3,3.4,0.1,,,,,,
https://www.carrefour.fr/p/fromage-frais-bio-faisselle-4-5-mg-la-bressane-3302552417105?t=R04F06,"Fromage frais bio faisselle 4,5% MG LA BRESSANE ",le pot de 1 kg,4.10,4.10,326,78,4.5,3.1,5.3,5.2,4.1,2,,,,,,
https://www.carrefour.fr/p/gateau-au-fromage-blanc-saint-amour-3370390001008?t=R04F06,Gâteau au fromage blanc SAINT AMOUR ,la boite de 350 g,2.99,8.54,700,165,3.2,1.6,27.3,21.3,6.9,0.11,,,,,,
https://www.carrefour.fr/p/gateau-de-riz-caramel-la-fermiere-3279231504008?t=R04F06,Gâteau de riz & caramel  LA FERMIERE ,les 2 pots de 150 g,2.85,9.50,710,169,6.8,3.6,24,16,3.4,0.12,,,,,,
https://www.carrefour.fr/p/mousses-a-la-framboise-avec-genoise-carrefour-selection-3560071003104?t=R04F06,Mousses à la framboise avec génoise CARREFOUR SELECTION ,les 2 pots de 90g,2.30,12.78,819,196,9.6,6.4,23,20,2.7,0.05,,,,,,
https://www.carrefour.fr/p/riz-au-lait-vanille-cambremer-3353930111016?t=R04F06,Riz au lait  vanille CAMBREMER ,le pot de 830 g,2.95,3.55,508,122,3.8,2.76,18.1,8.3,3.6,0.082,,,,,,
https://www.carrefour.fr/p/riz-au-lait-caramel-teurgoule-de-janville-3479571421267?t=R04F06,Riz au lait caramel TEURGOULE DE JANVILLE ,le pot de 750 g,2.70,3.60,,,,,,,,,,,,,,
https://www.carrefour.fr/p/riz-au-lait-cannelle-teurgoule-de-janville-3479576241129?t=R04F06,Riz au lait cannelle TEURGOULE DE JANVILLE ,le pot de 750 g,2.70,3.60,,,,,,,,,,,,,,
